"Fleet","Fleet_name","Area","Seas","Obs","Exp","SE","SE_input","year","model_run","iteration","scenario"
1,"Comm",1,1,1,41.2985,0.1,0.1,31,"om","2","opaka-sim"
1,"Comm",1,1,1,42.6643,0.1,0.1,32,"om","2","opaka-sim"
1,"Comm",1,1,1,50.2346,0.1,0.1,33,"om","2","opaka-sim"
1,"Comm",1,1,1,49.2898,0.1,0.1,34,"om","2","opaka-sim"
1,"Comm",1,1,1,46.6152,0.1,0.1,35,"om","2","opaka-sim"
1,"Comm",1,1,1,43.7988,0.1,0.1,36,"om","2","opaka-sim"
1,"Comm",1,1,1,39.3296,0.1,0.1,37,"om","2","opaka-sim"
1,"Comm",1,1,1,35.8027,0.1,0.1,38,"om","2","opaka-sim"
1,"Comm",1,1,1,33.5533,0.1,0.1,39,"om","2","opaka-sim"
1,"Comm",1,1,1,34.7406,0.1,0.1,40,"om","2","opaka-sim"
1,"Comm",1,1,1,37.7571,0.1,0.1,41,"om","2","opaka-sim"
1,"Comm",1,1,1,40.9237,0.1,0.1,42,"om","2","opaka-sim"
1,"Comm",1,1,1,40.191,0.1,0.1,43,"om","2","opaka-sim"
1,"Comm",1,1,1,37.4743,0.1,0.1,44,"om","2","opaka-sim"
1,"Comm",1,1,1,35.2975,0.1,0.1,45,"om","2","opaka-sim"
1,"Comm",1,1,1,34.1965,0.1,0.1,46,"om","2","opaka-sim"
1,"Comm",1,1,1,37.4007,0.1,0.1,47,"om","2","opaka-sim"
1,"Comm",1,1,1,39.0272,0.1,0.1,48,"om","2","opaka-sim"
1,"Comm",1,1,1,39.9558,0.1,0.1,49,"om","2","opaka-sim"
1,"Comm",1,1,1,39.5229,0.1,0.1,50,"om","2","opaka-sim"
1,"Comm",1,1,1,42.7653,0.1,0.1,51,"om","2","opaka-sim"
1,"Comm",1,1,1,45.0064,0.1,0.1,52,"om","2","opaka-sim"
1,"Comm",1,1,1,45.9727,0.1,0.1,53,"om","2","opaka-sim"
1,"Comm",1,1,1,44.8061,0.1,0.1,54,"om","2","opaka-sim"
1,"Comm",1,1,1,42.7474,0.1,0.1,55,"om","2","opaka-sim"
1,"Comm",1,1,1,44.4424,0.1,0.1,56,"om","2","opaka-sim"
